					UPD: 11:59 AM

EV (AVG)	EV (F4)	EV (w/ PN)	EV (365)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi	PN	vs SP
-8.2	-8.1	-11.4	-9.6	DET @ CHW	Jake Rogers		+480	484/-724	475/-750	+475	500/-700	480		496/-872	.000 1-1, 1 HR, 1 RBI, 1 BB, 0 SO
-8.7	-5.8	-9.5	-5.8	TEX @ CLE	Adolis Garcia		+500	445/-670	425/-650	+425	450/-650	400	450/-715	449/-753	.200 1-5, 0 HR, 0 RBI, 0 BB, 2 SO
-8.9	-9.7	-12.8	-11.2	WSH @ ATL	Travis Darnaud		+440	491/-774	500/-800	+500	525/-750	500		516/-927	.143 1-7, 0 HR, 1 RBI, 1 BB, 1 SO
-9.0	0	-8.4	0	DET @ CHW	Riley Greene		+360	375/-590		+350		375	390/-590	373/-580	
-9.0	-11.1	-11.7	-12.9	LAA @ TOR	Daulton Varsho		+430	463/-705	475/-750	+450	500/-700	480	430/-670	546/-809	
-9.1	-8.6	-11.5	-11.3	CHC @ MIA	Seiya Suzuki		+460	446/-674	450/-700	+425	475/-650	400		463/-787	
-9.2	-11.2	-10.8	-11.6	DET @ CHW	Kerry Carpenter		+400	395/-575	400/-600	+350	425/-600	400	350/-530	418/-679	.000 2-2, 0 HR, 0 RBI, 0 BB, 0 SO
-9.4	-6.0	-8.4	-7.1	ARI @ BOS	Wilyer Abreu		+460	390/-563	375/-550	+340	375/-550	350	390/-590	379/-591	
-9.9	-8.2	-11.5	-9.6	MIL @ OAK	Lawrence Butler		+560	529/-851	525/-850	+550	550/-800	500	510/-910	532/-970	
-10.0	-11.8	-14.6	-11.0	SF @ SEA	Tyler Fitzgerald		+480	576/-1000	600/-1000	+650	625/-1000	600		604/-1181	
-10.1	-7.9	-8.7	-5.7	SF @ SEA	Mike Yastrzemski		+430	378/-524	350/-500	+310	400/-550	333		357/-545	.600 3-5, 1 HR, 2 RBI, 1 BB, 1 SO
-10.1	-9.7	-12.8	-11.2	NYM @ SD	Manny Machado		+420	489/-793	500/-800	+500	525/-750	500	500/-835	510/-910	.400 2-5, 0 HR, 0 RBI, 0 BB, 0 SO
-10.5	-9.7	-13.2	-11.2	DET @ CHW	Matt Vierling		+560	521/-774	500/-800	+500	525/-750	500		522/-943	
-10.5	-9.4	-12.3	-11.3	CHC @ MIA	Jake Burger		+430	453/-687	450/-700	+425	475/-650	450	460/-715	463/-789	.000 0-2, 0 HR, 0 RBI, 0 BB, 0 SO
-10.7	-8.8	-13.8	-9.6	PHI @ KC	Michael Massey		+560	545/-851	525/-850	+550	550/-800	550	540/-910	571/-1081	.333 1-3, 0 HR, 1 RBI, 0 BB, 0 SO
-10.7	-7.7	-12.1	-9.6	NYM @ SD	Francisco Lindor		+500	485/-758	475/-750	+475	500/-700	450	500/-835	491/-860	.350 7-20, 2 HR, 3 RBI, 1 BB, 10 SO
-10.8	-4.0	-11.6	-3.6	PHI @ KC	Salvador Perez		+420	429/-662	400/-600	+400	425/-600	400	500/-835	434/-717	.000 3-3, 0 HR, 1 RBI, 1 BB, 0 SO
-10.8	-11.1	-18.8	-12.9	TB @ LAD	Freddie Freeman		+430	471/-724	475/-750	+450	500/-700	480		480/-1235	.000 1-1, 0 HR, 0 RBI, 1 BB, 0 SO
-11.0	-9.4	-12.1	-11.3	COL @ NYY	Gleyber Torres		+470	461/-687	450/-700	+425	475/-650	450	460/-715	513/-746	.000 2-2, 0 HR, 0 RBI, 0 BB, 0 SO
-11.1	-5.4	-11.1	-5.8	STL @ MIN	Matt Wallner		+460	444/-702	425/-650	+425	425/-650	400	510/-835	439/-728	
-11.3	-11.8	-14.2	-11.0	COL @ NYY	Ben Rice		+600	606/-1000	600/-1000	+650	625/-1000	600		688/-1105	
-11.6	-10.7	-12.5	-12.9	ARI @ BOS	Jarren Duran		+560	489/-721	475/-750	+450	500/-700	450	460/-715	484/-841	
-11.9	-10.7	-16.4	-12.9	WSH @ ATL	Matt Olson		+450	470/-739	475/-750	+450	500/-700	450	475/-770	458/-1130	.250 3-12, 0 HR, 0 RBI, 3 BB, 5 SO
-12.2	-10.7	-14.0	-12.9	SF @ SEA	Michael Conforto		+560	496/-724	475/-750	+450	500/-700	450		493/-865	.000 0-8, 0 HR, 0 RBI, 1 BB, 4 SO
-12.3	-7.7	-12.4	-9.6	LAA @ TOR	George Springer		+500	490/-777	475/-750	+475	500/-700	450	525/-910	528/-775	
-12.5	-8.1	-13.9	-9.6	CHC @ MIA	Jesus Sanchez		+470	493/-777	475/-750	+475	500/-700	480	540/-910	495/-868	.000 2-2, 1 HR, 2 RBI, 0 BB, 0 SO
-12.6	-12.4	-14.5	-14.3	CIN @ PIT	Tyler Stephenson		+520	501/-773	500/-800	+475	525/-750	480	480/-770	581/-879	.462 6-13, 1 HR, 4 RBI, 0 BB, 1 SO
-13.2	-12.4	-15.7	-14.3	SF @ SEA	Jorge Polanco		+540	511/-774	500/-800	+475	525/-750	480		519/-934	
-13.3	-9.0	-22.3	-11.3	PHI @ KC	Bobby Witt		+440	458/-720	450/-700	+425	475/-650	425	500/-835	465/-2176	
-13.6	-9.4	-15.0	-8.2	CIN @ PIT	Oneil Cruz		+630	586/-962	550/-900	+600	600/-900	550	600/-1115	660/-1044	
-13.7	-12.6	-15.4	-14.3	SF @ SEA	Randy Arozarena		+560	521/-774	500/-800	+475	525/-750	500		510/-910	
-13.9	-12.6	-16.0	-14.3	NYM @ SD	Jd Martinez		+470	501/-793	500/-800	+475	525/-750	500	510/-835	516/-925	.333 1-3, 1 HR, 3 RBI, 0 BB, 1 SO
-14.0	-15.7	-16.2	-19.7	CIN @ PIT	Bryan Reynolds		+540	529/-820	550/-900	+500	575/-800	500	480/-770	618/-954	
-14.2	-9.6	-14.3	-9.6	STL @ MIN	Willson Contreras		+500	456/-686	425/-650	+400	425/-650	450	480/-770	449/-753	
-14.2	-14.5	-17.8	-13.9	SF @ SEA	Luke Raley		+520	555/-900	550/-900	+550	600/-900	550		575/-1093	
-14.4	-14.5	-16.4	-13.9	CIN @ PIT	Spencer Steer		+540	556/-903	550/-900	+550	600/-900	550	540/-910	640/-1000	.600 6-10, 1 HR, 4 RBI, 2 BB, 1 SO
-14.7	-9.8	-16.5	-8.2	COL @ NYY	Jazz Chisholm		+520	568/-996	550/-900	+600		600	600/-1115	648/-1019	
-15.0	-8.1	-14.8	-9.6	STL @ MIN	Paul Goldschmidt		+560	518/-797	475/-750	+475	500/-700	480	575/-1000	484/-842	
-15.0	-9.2	-15.1	-9.6	DET @ CHW	Andrew Vaughn		+470	449/-702	425/-650	+400	450/-650	400	500/-835	447/-749	
-15.6	-8.2	-15.6	-7.8	TEX @ CLE	Jose Ramirez		+500	490/-778	450/-700	+450	475/-700	450	575/-1000	475/-818	.176 3-17, 1 HR, 1 RBI, 0 BB, 3 SO
-15.6	-13.7	-17.9	-15.6	CHC @ MIA	Ian Happ		+500	523/-851	525/-850	+500	550/-800	500	540/-910	547/-1013	
-15.8	-13.7	-16.9	-15.6	COL @ NYY	Ezequiel Tovar		+540	528/-851	525/-850	+500	550/-800	500	525/-910	596/-909	.500 2-4, 0 HR, 1 RBI, 0 BB, 1 SO
-15.9	-18.8	-18.4	-19.7	HOU @ BAL	Anthony Santander		+540	529/-852	550/-900	+500	575/-900	500	480/-770	640/-1001	.333 2-6, 0 HR, 0 RBI, 0 BB, 2 SO
-16.2	-15.3	-18.8	-13.9	TB @ LAD	Josh Lowe		+630	601/-900	550/-900	+550	625/-900	600		582/-1116	
-16.2	-16.5	-18.2	-16.3	CHC @ MIA	Cody Bellinger		+630	599/-1000	600/-1000	+600	625/-1000	600	540/-1000	606/-1187	
-16.2	-13.7	-16.9	-15.6	COL @ NYY	Brenton Doyle		+560	535/-851	525/-850	+500	550/-800	500	540/-910	593/-904	.500 1-2, 0 HR, 2 RBI, 0 BB, 1 SO
-16.6	-15.7	-19.0	-19.7	ARI @ BOS	Triston Casas		+470	524/-867	550/-900	+500	575/-800	500	525/-910	551/-1023	
-16.8	-16.2	-19.3	-15.5	TEX @ CLE	Bo Naylor		+830	739/-1200	700/-1200	+750	725/-1200	700		690/-1463	
-16.9	-17.7	-19.4	-21.5	PHI @ KC	Trea Turner		+560	570/-935	600/-1000	+550	600/-900	550	540/-910	594/-1152	.000 2-2, 1 HR, 1 RBI, 0 BB, 0 SO
-17.1	-14.5	-18.0	-13.9	CIN @ PIT	Joey Bart		+630	581/-931	550/-900	+550	600/-900	550	575/-1000	646/-1013	
-17.2	-9.4	-18.3	-11.3	PHI @ KC	Mj Melendez		+480	486/-756	450/-700	+425	475/-650	450	575/-1000	490/-856	.250 1-4, 1 HR, 1 RBI, 0 BB, 0 SO
-17.2	-11.1	-19.5	-12.9	PHI @ KC	Bryce Harper		+480	497/-797	475/-750	+450	500/-700	480	550/-1000	531/-966	.316 6-19, 0 HR, 5 RBI, 1 BB, 3 SO
-17.8	-16.3	-19.5	-19.7	ARI @ BOS	Eugenio Suarez		+560	549/-867	550/-900	+500	575/-800	550	510/-910	557/-1040	.400 2-5, 1 HR, 3 RBI, 1 BB, 3 SO
-17.9	-18.5	-20.4	-18.3	LAA @ TOR	Zach Neto		+600	635/-1105	650/-1100	+650	675/-1100	650	600/-1115	750/-1247	
-18.0	0	-19.5	0	DET @ CHW	Trey Sweeney		+450	467/-835		+450		450	500/-835	497/-876	
-18.0	-17.3	-20.6	-16.3	TB @ LAD	Tommy Edman		+680	645/-1000	600/-1000	+600	650/-1000	650		620/-1231	.000 1-1, 1 HR, 1 RBI, 0 BB, 0 SO
-18.3	-16.5	-19.8	-16.3	PHI @ KC	Vinnie Pasquantino		+600	605/-1036	600/-1000	+600	625/-1000	600	600/-1115	600/-1170	
-18.3	-19.8	-23.5	-18.3	NYM @ SD	Kyle Higashioka		+480	651/-1100	650/-1100	+650	725/-1100	750		674/-1409	
-18.5	-18.5	-21.2	-18.3	STL @ MIN	Carlos Santana		+680	651/-1105	650/-1100	+650	675/-1100	650	600/-1115	669/-1392	.000 0-1, 0 HR, 0 RBI, 0 BB, 1 SO
-18.6	-14.8	-20.4	-13.9	MIL @ OAK	Jj Bleday		+560	577/-962	550/-900	+550	625/-900	550	600/-1115	585/-1122	
-18.8	-14.5	-19.1	-13.9	COL @ NYY	Austin Wells		+600	580/-962	550/-900	+550	600/-900	550	600/-1115	632/-985	
-18.9	-18.5	-20.8	-18.3	ARI @ BOS	Josh Bell		+750	660/-1105	650/-1100	+650	675/-1100	650	575/-1115	661/-1365	.200 1-5, 1 HR, 1 RBI, 0 BB, 1 SO
-19.0	-10.7	-19.4	-12.9	TEX @ CLE	Josh Naylor		+500	505/-820	475/-750	+450	500/-700	450	600/-1115	498/-877	.000 0-5, 0 HR, 0 RBI, 0 BB, 1 SO
-19.4	-18.5	-20.1	-18.3	CIN @ PIT	Elly De La Cruz		+800	675/-1105	650/-1100	+650	675/-1100	650	600/-1115	739/-1220	.400 2-5, 0 HR, 0 RBI, 1 BB, 2 SO
-19.5	-19.8	-22.4	-20.0	NYM @ SD	Francisco Alvarez		+600	665/-1216	700/-1200	+700	725/-1200	650	650/-1250	688/-1459	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO
-19.7	-17.5	-22.4	-16.3	STL @ MIN	Max Kepler		+680	641/-1036	600/-1000	+600	675/-1000	650	600/-1115	659/-1359	
-19.8	-15.4	-22.0	-18.3	NYM @ SD	Brandon Nimmo		+520	629/-1150	650/-1100	+650	675/-1000	600	700/-1430	635/-1279	.000 0-9, 0 HR, 0 RBI, 0 BB, 1 SO
-20.2	-22.4	-22.0	-23.1	COL @ NYY	Brendan Rodgers		+600	615/-1065	650/-1100	+600	675/-1100	600	550/-1000	719/-1175	.143 1-7, 0 HR, 0 RBI, 0 BB, 2 SO
-20.4	-16.5	-21.9	-16.3	WSH @ ATL	Ramon Laureano		+600	615/-1071	600/-1000	+600	625/-1000	600	650/-1250	613/-1211	
-20.4	-20.6	-24.6	-20.0	CHC @ MIA	Connor Norby		+680	714/-1200	700/-1200	+700	775/-1200	700		717/-1561	
-20.6	-22.4	-22.4	-23.1	LAA @ TOR	Taylor Ward		+630	626/-1065	650/-1100	+600	675/-1100	600	575/-1000	728/-1196	.000 0-6, 0 HR, 0 RBI, 1 BB, 3 SO
-20.8	-20.2	-23.4	-20.0	MIL @ OAK	Zack Gelof		+750	705/-1216	700/-1200	+700	725/-1200	700	650/-1250	711/-1540	
-20.8	-20.2	-23.1	-20.0	STL @ MIN	Trevor Larnach		+750	705/-1216	700/-1200	+700	725/-1200	700	650/-1250	703/-1509	
-20.8	-19.4	-22.1	-19.7	SF @ SEA	Lamonte Wade		+630	576/-900	550/-900	+500	575/-900	550		563/-1057	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO
-20.9	-16.8	-22.1	-16.3	DET @ CHW	Korey Lee		+680	626/-1071	600/-1000	+600	650/-1000	600	600/-1250	622/-1239	
-21.0	-18.0	-21.5	-21.5	HOU @ BAL	Jose Altuve		+600	590/-997	600/-1000	+550	625/-900	550	575/-1115	654/-1032	
-21.3	-18.5	-23.8	-18.3	STL @ MIN	Nolan Arenado		+750	675/-1146	650/-1100	+650	675/-1100	650	650/-1250	696/-1486	
-21.3	-19.8	-23.4	-20.0	ARI @ BOS	Ceddanne Rafaela		+900	744/-1200	700/-1200	+700	725/-1200	650		701/-1504	
-21.5	-21.3	-23.8	-21.5	CHC @ MIA	Michael Busch		+600	600/-1000	600/-1000	+550	625/-1000	600	575/-1000	623/-1242	
-21.5	-20.8	-24.0	-20.0	COL @ NYY	Jordan Beck		+800	750/-1200	700/-1200	+700	750/-1200	750		821/-1417	
-21.5	-21.3	-23.1	-21.5	NYM @ SD	Jackson Merrill		+600	600/-1000	600/-1000	+550	625/-1000	600	575/-1000	604/-1181	
-21.6	0	-18.2	0	DET @ CHW	Jace Jung		+470	477/-835		+425		450	510/-835	451/-757	
-21.7	-21.3	-23.7	-21.5	LAA @ TOR	Jo Adell		+600	606/-1000	600/-1000	+550	625/-1000	600		691/-1113	.400 2-5, 0 HR, 0 RBI, 0 BB, 0 SO
-22.2	-25.1	-24.7	-25.2	CIN @ PIT	Jonathan India		+750	715/-1346	750/-1400	+750	775/-1400	700	600/-1250	873/-1546	.286 4-14, 0 HR, 0 RBI, 1 BB, 0 SO
-22.2	-24.4	-25.7	-24.4	MIL @ OAK	Jackson Chourio		+600	670/-1170	700/-1200	+650	750/-1200	700	600/-1115	708/-1529	
-22.3	-20.2	-24.9	-20.0	CHC @ MIA	Pete Crow Armstrong		+600	685/-1268	700/-1200	+700	725/-1200	700	700/-1430	699/-1497	
-22.6	-14.3	-22.3	-15.6	STL @ MIN	Alec Burleson		+630	581/-930	525/-850	+500	550/-800	550	650/-1250	542/-997	
-22.8	-22.9	-24.7	-23.1	LAA @ TOR	Logan Ohoppe		+600	635/-1105	650/-1100	+600	675/-1100	650	600/-1115	745/-1235	.000 0-1, 0 HR, 0 RBI, 2 BB, 1 SO
-23.1	-25.6	-25.9	-25.2	WSH @ ATL	Michael Harris		+830	746/-1346	750/-1400	+750	800/-1400	750	600/-1250	770/-1758	.167 1-6, 0 HR, 0 RBI, 1 BB, 1 SO
-23.1	-20.8	-24.2	-21.5	CHC @ MIA	Isaac Paredes		+600	595/-1036	600/-1000	+550	625/-1000	550	600/-1115	600/-1169	
-23.1	-22.9	-26.4	-23.1	SF @ SEA	Heliot Ramos		+630	651/-1100	650/-1100	+600	675/-1100	650		665/-1380	
-23.1	-20.8	-24.4	-21.5	CIN @ PIT	Bryan De La Cruz		+600	595/-1036	600/-1000	+550	625/-1000	550	600/-1115	698/-1128	
-23.3	-23.3	-25.9	-23.1	TB @ LAD	Junior Caminero		+600	656/-1100	650/-1100	+600	675/-1100	700		645/-1312	
-23.5	-21.7	-25.4	-21.5	NYM @ SD	Jake Cronenworth		+560	607/-1036	600/-1000	+550	625/-1000	650	600/-1115	619/-1230	
-23.6	-20.9	-26.6	-20.0	STL @ MIN	Ryan Jeffers		+700	725/-1268	700/-1200	+700	775/-1200	750	700/-1430	740/-1646	
-23.7	-20.3	-25.3	-20.0	LAA @ TOR	Will Wagner		+800	730/-1268	700/-1200	+700	750/-1200	700	700/-1430	833/-1445	
-24.1	-25.1	-28.2	-29.2	TB @ LAD	Jose Siri		+560	709/-1292	750/-1400	+700	775/-1200	750		726/-1593	
-24.3	-20.6	-25.3	-20.0	ARI @ BOS	Lourdes Gurriel		+870	749/-1268	700/-1200	+700	725/-1200	750	700/-1430	703/-1509	.167 1-6, 0 HR, 0 RBI, 0 BB, 0 SO
-24.5	-23.8	-25.7	-24.4	HOU @ BAL	Gunnar Henderson		+680	681/-1216	700/-1200	+650	725/-1200	650	650/-1250	778/-1312	.000 0-7, 0 HR, 0 RBI, 0 BB, 1 SO
-24.5	-24.7	-27.7	-23.7	COL @ NYY	Anthony Volpe		+870	880/-1600	850/-1600	+900	900/-1600	900		995/-1873	
-24.6	-22.9	-26.0	-23.1	MIL @ OAK	Seth Brown		+600	635/-1146	650/-1100	+600	675/-1100	650	600/-1250	639/-1291	.200 1-5, 0 HR, 0 RBI, 0 BB, 2 SO
-24.6	-21.9	-26.2	-21.3	ARI @ BOS	Connor Wong		+800	765/-1479	750/-1400	+800	775/-1400	750	750/-1667	752/-1691	
-24.6	-19.1	-26.1	-17.4	LAA @ TOR	Alejandro Kirk		+800	805/-1556	750/-1400	+850	825/-1400	800	850/-2000	915/-1654	
-24.6	-22.2	-26.9	-21.3	PHI @ KC	Alec Bohm		+800	765/-1479	750/-1400	+800	825/-1400	750	700/-1667	779/-1793	.200 1-5, 0 HR, 0 RBI, 0 BB, 1 SO
-24.7	-25.8	-28.3	-25.2	TB @ LAD	Yandy Diaz		+600	731/-1400	750/-1400	+750	775/-1400	800		745/-1664	
-24.8	-16.8	-26.0	-16.3	TEX @ CLE	Jhonkensy Noel		+560	632/-1154	600/-1000	+600	650/-1000	600	750/-1667	626/-1251	
-24.9	-22.6	-26.7	-21.3	CIN @ PIT	Stuart Fairchild		+800	775/-1479	750/-1400	+800	825/-1400	800	700/-1667	909/-1641	.273 3-11, 0 HR, 2 RBI, 0 BB, 0 SO
-24.9	-24.5	-27.9	-29.2	CHC @ MIA	Dansby Swanson		+750	738/-1292	750/-1400	+700	750/-1200	700		729/-1603	
-25.0	-16.4	-26.0	-15.5	PHI @ KC	Freddy Fermin		+800	760/-1385	700/-1200	+750	750/-1200	700	850/-2000	719/-1566	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO
-25.1	-24.5	-27.4	-29.2	PHI @ KC	Nick Castellanos		+600	690/-1335	750/-1400	+700	750/-1200	700	650/-1430	713/-1547	.500 2-4, 0 HR, 0 RBI, 1 BB, 0 SO
-25.1	-22.4	-26.6	-23.1	TEX @ CLE	Marcus Semien		+680	651/-1146	650/-1100	+600	675/-1100	600	650/-1250	657/-1352	.250 2-8, 1 HR, 2 RBI, 1 BB, 1 SO
-25.2	-25.6	-27.7	-25.2	LAA @ TOR	Spencer Horwitz		+680	736/-1410	750/-1400	+750	800/-1400	750	700/-1430	891/-1593	
-25.4	-21.3	-26.0	-21.5	DET @ CHW	Colt Keith		+600	615/-1071	600/-1000	+550	625/-1000	600	650/-1250	597/-1159	
-25.7	-25.7	-31.7	-25.2	DET @ CHW	Brooks Baldwin		+750	767/-1400	750/-1400	+750		800		784/-1814	
-25.8	-19.8	-25.2	-20.0	HOU @ BAL	Alex Bregman		+800	725/-1324	700/-1200	+700	725/-1200	650	750/-1667		
-26.1	-20.2	-26.8	-20.0	NYM @ SD	Jurickson Profar		+800	735/-1324	700/-1200	+700	725/-1200	700	750/-1667	699/-1497	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO
-26.1	-26.1	-29.3	-25.2	LAA @ TOR	Joey Loperfido		+750	781/-1400	750/-1400	+750	825/-1400	800		911/-1644	
-26.1	-25.8	-28.7	-25.2	COL @ NYY	Jacob Stallings		+800	781/-1400	750/-1400	+750	825/-1400	750		902/-1620	.000 0-4, 0 HR, 0 RBI, 0 BB, 2 SO
-26.2	-19.8	-26.7	-20.0	ARI @ BOS	Masataka Yoshida		+870	739/-1324	700/-1200	+700	725/-1200	650	750/-1667	704/-1515	
-26.2	-27.3	-29.3	-27.2	LAA @ TOR	Kevin Pillar		+600	785/-1622	850/-1600	+850	875/-1600	850	750/-1667	969/-1799	.250 1-4, 0 HR, 0 RBI, 0 BB, 0 SO
-26.2	-22.9	-26.7	-23.1	ARI @ BOS	Adrian Del Castillo		+800	685/-1146	650/-1100	+600	675/-1100	650	650/-1250	653/-1339	
-26.3	-24.5	-27.6	-29.2	CIN @ PIT	Noelvi Marte		+750	730/-1335	750/-1400	+700	750/-1200	700	700/-1430	836/-1452	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO
-26.3	-25.2	-29.9	-25.2	WSH @ ATL	Andres Chaparro		+870	790/-1400	750/-1400	+750		750		756/-1707	
-26.5	-24.2	-28.7	-24.4	DET @ CHW	Gavin Sheets		+630	681/-1268	700/-1200	+650	725/-1200	700	650/-1430	701/-1504	
-26.5	-26.1	-30.3	-25.2	TEX @ CLE	Daniel Schneemann		+800	794/-1400	750/-1400	+750	825/-1400	800		794/-1855	
-26.7	-22.4	-27.8	-23.1	TEX @ CLE	Josh Jung		+630	641/-1192	650/-1100	+600	675/-1100	600	650/-1430	649/-1326	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO
