,12 Team - 1QB (15) / 2RB (36) / 2WR (51) / 1TE (17) / 1[RB/WR/TE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Passing: 4 TD, 0.04 YD, -1 INT | Rushing: 6 TD, 0.1 YD, -2 FL | Receiving: 6 TD, 0.1 YD, 1 PPR RB, 1 PPR WR, 1 PPR TE | Updated: 08-31-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RUNNING BACK,,,,,,,,,,,WIDE RECEIVER,,,,,,,,,,,QUARTERBACK,,,,,,,,
,NAME,TM/BW,POS,VAL,VRK,ECR,ADP,,,,,NAME,TM/BW,POS,VAL,VRK,ECR,ADP,,,,,NAME,TM/BW,POS,VAL,VRK,ECR,ADP,,
,Christian McCaffrey,SF/9,R1/1,9.5,1.03,1.03,1.02,RB1,1,,,Justin Jefferson,MIN/13,W1/1,9.7,1.02,1.01,1.01,WR1,1,,,Patrick Mahomes II,KC/10,Q1/1,6.1,2.06,2.12,2.05,QB1,1
,Austin Ekeler,LAC/5,R2/1,9.2,1.04,1.07,1.04,RB2,1,,,Ja'Marr Chase,CIN/7,W2/1,9.1,1.05,1.02,1.03,WR2,1,,,Jalen Hurts,PHI/10,Q2/1,5.7,2.08,3.02,2.11,QB2,1
,Saquon Barkley,NYG/13,R3/1,6.8,1.11,1.11,1.08,RB3,1,,,Cooper Kupp,LAR/10,W3/1,8.7,1.07,1.04,1.07,WR3,1,,,Josh Allen,BUF/13,Q3/1,5.9,2.07,3.03,2.09,QB3,1
,Bijan Robinson,ATL/11,R4/1,6.4,2.01,2.03,1.09,RB4,1,,,Tyreek Hill,MIA/10,W4/1,8.9,1.06,1.05,1.06,WR4,1,,,Lamar Jackson,BAL/13,Q4/1,4.2,3.11,4.02,3.12,QB4,2
,Tony Pollard,DAL/7,R5/1,6.6,1.12,2.04,2.06,RB5,1,,,Stefon Diggs,BUF/13,W5/1,7.1,1.09,1.08,1.10,WR5,2,,,Joe Burrow,CIN/7,Q5/1,4.2,3.12,4.08,3.11,QB5,2
,Nick Chubb,CLE/5,R6/1,6.3,2.03,2.05,1.11,RB6,2,,,CeeDee Lamb,DAL/7,W6/1,7.6,1.08,1.09,1.12,WR6,2,,,Justin Fields,CHI/13,Q6/1,2.7,5.12,5.02,4.08,QB6,2
,Derrick Henry,TEN/7,R7/1,6.3,2.02,2.08,2.04,RB7,2,,,Amon-Ra St. Brown,DET/9,W7/1,6.2,2.05,1.10,2.08,WR7,2,,,Justin Herbert,LAC/5,Q7/1,2.4,6.05,5.04,4.09,QB7,2
,Josh Jacobs,LV/13,R8/1,6.3,2.04,2.09,2.03,RB8,2,,,A.J. Brown,PHI/10,W8/1,5.5,2.09,1.12,2.02,WR8,2,,,Trevor Lawrence,JAC/9,Q8/1,1.2,8.03,6.05,5.06,QB8,2
,Rhamondre Stevenson,NE/11,R9/1,4.8,3.03,3.04,3.07,RB9,2,,,Davante Adams,LV/13,W9/1,7.0,1.10,2.01,2.01,WR9,2,,,Deshaun Watson,CLE/5,Q9/1,1.9,7.06,8.09,7.05,QB9,3
,Joe Mixon,CIN/7,R10/1,5.5,2.10,3.07,3.09,RB10,2,,,Garrett Wilson,NYJ/7,W10/1,5.1,3.01,2.02,2.07,WR10,2,,,Dak Prescott,DAL/7,Q10/1,1.2,8.01,8.12,8.01,QB10,3
,Najee Harris,PIT/6,R11/1,4.2,3.09,3.10,3.03,RB11,3,,,Jaylen Waddle,MIA/10,W11/2,5.1,2.12,2.06,2.10,WR11,3,,,Daniel Jones,NYG/13,Q11/1,1.1,8.08,9.03,10.08,QB11,3
,Jahmyr Gibbs,DET/9,R12/1,3.7,4.06,3.11,3.10,RB12,3,,,Chris Olave,NO/11,W12/1,4.6,3.05,2.07,3.01,WR12,3,,,Tua Tagovailoa,MIA/10,Q12/1,0.0,10.08,9.05,8.04,QB12,3
,Aaron Jones,GB/6,R13/1,5.2,2.11,3.12,4.02,RB13,3,,,DeVonta Smith,PHI/10,W13/2,4.3,3.08,2.10,3.02,WR13,3,,,Kirk Cousins,MIN/13,Q13/1,1.2,8.04,9.11,9.10,QB13,3
,Travis Etienne Jr.,JAC/9,R14/1,4.0,4.02,4.01,3.05,RB14,3,,,Keenan Allen,LAC/5,W14/1,4.2,3.10,2.11,4.06,WR14,3,,,Geno Smith,SEA/5,Q14/1,0.9,9.01,10.01,10.11,QB14,3
,Breece Hall,NYJ/7,R15/1,3.1,5.07,5.05,4.04,RB15,3,,,Tee Higgins,CIN/7,W15/2,4.5,3.06,3.01,3.06,WR15,3,,,Anthony Richardson,IND/11,Q15/1,-0.5,11.08,10.05,10.07,QB15,3
,Dameon Pierce,HOU/7,R16/1,3.3,4.12,5.08,4.11,RB16,3,,,DK Metcalf,SEA/5,W16/1,4.4,3.07,3.05,3.08,WR16,3,,,Aaron Rodgers,NYJ/7,Q16/1,0.1,10.05,10.09,8.12,QB16,3
,Kenneth Walker III,SEA/5,R17/1,3.2,5.01,5.12,4.07,RB17,3,,,Calvin Ridley,JAC/9,W17/1,4.1,4.01,3.08,4.01,WR17,3,,,Jared Goff,DET/9,Q17/1,-0.2,11.02,11.03,12.03,QB17,3
,Miles Sanders,CAR/7,R18/1,2.6,6.02,5.11,5.01,RB18,3,,,Amari Cooper,CLE/5,W18/1,3.8,4.05,3.09,4.05,WR18,4,,,Russell Wilson,DEN/9,Q18/1,-0.1,11.01,11.10,12.10,QB18,4
,Alexander Mattison,MIN/13,R19/1,3.6,4.08,6.03,6.02,RB19,4,,,Deebo Samuel,SF/9,W19/1,3.9,4.03,4.03,4.03,WR19,4,,,Derek Carr,NO/11,Q19/1,-1.5,13.12,13.02,14.04,QB19,4
,J.K. Dobbins,BAL/13,R20/1,2.3,6.10,6.07,5.11,RB20,4,,,Chris Godwin,TB/5,W20/1,3.5,4.10,4.05,6.07,WR20,4,,,Kenny Pickett,PIT/6,Q20/1,-1.7,14.09,13.07,14.09,QB20,4
,James Conner,ARI/14,R21/1,3.8,4.04,6.08,6.03,RB21,4,,,DJ Moore,CHI/13,W21/1,3.1,5.05,4.04,5.02,WR21,4,,,Matthew Stafford,LAR/10,Q21/1,-1.8,15.03,13.06,15.04,QB21,4
,Rachaad White,TB/5,R22/1,3.2,5.03,6.09,6.04,RB22,4,,,DeAndre Hopkins,TEN/7,W22/1,3.3,4.11,4.06,5.04,WR22,4,,,Jordan Love,GB/6,Q22/1,-1.6,14.04,13.12,15.12,QB22,4
,Cam Akers,LAR/10,R23/1,2.1,7.03,6.10,6.01,RB23,4,,,Drake London,ATL/11,W23/1,2.7,6.01,4.07,6.08,WR23,4,,,Brock Purdy,SF/9,Q23/1,-1.7,14.10,14.08,14.01,QB23,4
,James Cook,BUF/13,R24/1,2.3,6.07,7.03,7.02,RB24,4,,,Diontae Johnson,PIT/6,W24/1,2.8,5.11,4.09,7.06,WR24,4,,,Bryce Young,CAR/7,Q24/1,-2.5,16.06,15.12,15.07,QB24,4
